label,h,error
order 1 + euler,0.0625,0.530840674176972
order 1 + euler,0.03125,0.3833888378039332
order 1 + euler,0.015625,0.23567582343835575
order 1 + euler,0.0078125,0.13145595925501077
order 2 + rk2,0.0625,0.2178514876660804
order 2 + rk2,0.03125,0.057302547081435264
order 2 + rk2,0.015625,0.014433250491665432
order 2 + rk2,0.0078125,0.003613527857952721
order 3 + rk3,0.0625,0.06061953087083611
order 3 + rk3,0.03125,0.00797164225688577
order 3 + rk3,0.015625,0.001003920434948289
order 3 + rk3,0.0078125,0.00012563886182233677
order 4 + rk4,0.0625,0.0029054232927150977
order 4 + rk4,0.03125,0.0001516000525321801
order 4 + rk4,0.015625,8.907314023881649e-06
order 4 + rk4,0.0078125,5.474400799404017e-07
order 5 + rk4 + $\Delta t$ * 0.5,0.0625,0.0018337713401392695
order 5 + rk4 + $\Delta t$ * 0.42045,0.03125,5.813699431447168e-05
order 5 + rk4 + $\Delta t$ * 0.35355,0.015625,1.8224995009356714e-06
order 5 + rk4 + $\Delta t$ * 0.2973,0.0078125,5.699292767939796e-08
